day,source_plant,destination_plant,material,transfer_t
1,延炼,延石化,C4,328.655576
1,延炼,延石化,丙烷,26.064516
1,延炼,延石化,催化柴油,1119.231861
1,延炼,延石化,催化汽油,2178.861442
1,延炼,延石化,常压直馏柴油,4620.677419
1,延炼,延石化,常压石脑油,1854.022452
1,延炼,延石化,液化气,0.0
1,延炼,延石化,醚后C4,0.0
1,延石化,延炼,MTBE,0.0
1,延石化,延炼,丙烯,45.958978
1,延石化,延炼,丙烷,0.0
1,延石化,延炼,液化气,136.193771
1,延石化,延炼,石油苯,105.505448
1,延石化,延炼,精制柴油,0.0
1,延石化,延炼,精制汽油,0.0
1,延石化,延炼,醚后C4,20.074624
2,延炼,延石化,C4,328.655576
2,延炼,延石化,丙烷,26.064516
2,延炼,延石化,催化柴油,1119.231861
2,延炼,延石化,催化汽油,2178.861442
2,延炼,延石化,常压直馏柴油,4620.677419
2,延炼,延石化,常压石脑油,1854.022452
2,延炼,延石化,液化气,0.0
2,延炼,延石化,醚后C4,0.0
2,延石化,延炼,MTBE,0.0
2,延石化,延炼,丙烯,45.958978
2,延石化,延炼,丙烷,0.0
2,延石化,延炼,液化气,136.193771
2,延石化,延炼,石油苯,105.505448
2,延石化,延炼,精制柴油,0.0
2,延石化,延炼,精制汽油,0.0
2,延石化,延炼,醚后C4,20.074624
3,延炼,延石化,C4,328.655576
3,延炼,延石化,丙烷,26.064516
3,延炼,延石化,催化柴油,459.225806
3,延炼,延石化,催化汽油,1278.16129
3,延炼,延石化,常压直馏柴油,4620.677419
3,延炼,延石化,常压石脑油,1854.022452
3,延炼,延石化,液化气,0.0
3,延炼,延石化,醚后C4,0.0
3,延石化,延炼,MTBE,0.0
3,延石化,延炼,丙烯,45.958978
3,延石化,延炼,丙烷,0.0
3,延石化,延炼,液化气,259.870968
3,延石化,延炼,石油苯,105.505448
3,延石化,延炼,精制柴油,0.0
3,延石化,延炼,精制汽油,0.0
3,延石化,延炼,醚后C4,20.074624
4,延炼,延石化,C4,328.655576
4,延炼,延石化,丙烷,26.064516
4,延炼,延石化,催化柴油,459.225806
4,延炼,延石化,催化汽油,1278.16129
4,延炼,延石化,常压直馏柴油,4620.677419
4,延炼,延石化,常压石脑油,1854.022452
4,延炼,延石化,液化气,0.0
4,延炼,延石化,醚后C4,0.0
4,延石化,延炼,MTBE,0.0
4,延石化,延炼,丙烯,45.958978
4,延石化,延炼,丙烷,0.0
4,延石化,延炼,液化气,259.870968
4,延石化,延炼,石油苯,105.505448
4,延石化,延炼,精制柴油,0.0
4,延石化,延炼,精制汽油,0.0
4,延石化,延炼,醚后C4,20.074624
5,延炼,延石化,C4,328.655576
5,延炼,延石化,丙烷,26.064516
5,延炼,延石化,催化柴油,459.225806
5,延炼,延石化,催化汽油,1278.16129
5,延炼,延石化,常压直馏柴油,4620.677419
5,延炼,延石化,常压石脑油,1854.022452
5,延炼,延石化,液化气,0.0
5,延炼,延石化,醚后C4,0.0
5,延石化,延炼,MTBE,0.0
5,延石化,延炼,丙烯,45.958978
5,延石化,延炼,丙烷,0.0
5,延石化,延炼,液化气,259.870968
5,延石化,延炼,石油苯,105.505448
5,延石化,延炼,精制柴油,0.0
5,延石化,延炼,精制汽油,0.0
5,延石化,延炼,醚后C4,20.074624
6,延炼,延石化,C4,328.655576
6,延炼,延石化,丙烷,26.064516
6,延炼,延石化,催化柴油,1198.838449
6,延炼,延石化,催化汽油,2333.83534
6,延炼,延石化,常压直馏柴油,4620.677419
6,延炼,延石化,常压石脑油,1854.022452
6,延炼,延石化,液化气,0.0
6,延炼,延石化,醚后C4,0.0
6,延石化,延炼,MTBE,0.0
6,延石化,延炼,丙烯,45.958978
6,延石化,延炼,丙烷,0.0
6,延石化,延炼,液化气,84.498885
6,延石化,延炼,石油苯,105.505448
6,延石化,延炼,精制柴油,0.0
6,延石化,延炼,精制汽油,0.0
6,延石化,延炼,醚后C4,20.074624
7,延炼,延石化,C4,328.655576
7,延炼,延石化,丙烷,26.064516
7,延炼,延石化,催化柴油,1198.838449
7,延炼,延石化,催化汽油,2333.83534
7,延炼,延石化,常压直馏柴油,4620.677419
7,延炼,延石化,常压石脑油,1854.022452
7,延炼,延石化,液化气,0.0
7,延炼,延石化,醚后C4,0.0
7,延石化,延炼,MTBE,0.0
7,延石化,延炼,丙烯,45.958978
7,延石化,延炼,丙烷,0.0
7,延石化,延炼,液化气,84.498885
7,延石化,延炼,石油苯,105.505448
7,延石化,延炼,精制柴油,0.0
7,延石化,延炼,精制汽油,0.0
7,延石化,延炼,醚后C4,20.074624
