day,plant,material,inventory_t,external_source_t,shipment_t
1,延炼,0#柴油,50277.65,0.0,0.0
1,延炼,1#渣油,31726.808761,0.0,0.0
1,延炼,2#渣油,0.0,0.0,0.0
1,延炼,3#喷气燃料,24084.0,0.0,0.0
1,延炼,92#汽油,33437.75,0.0,0.0
1,延炼,95#汽油,24974.125,0.0,0.0
1,延炼,C12,0.0,0.0,0.0
1,延炼,C4,0.0,0.0,0.0
1,延炼,C6馏分,0.0,0.0,0.0
1,延炼,MTBE,6232.5381,0.0,32.74371
1,延炼,OG气,0.0,0.0,0.0
1,延炼,RCO,17558.8875,0.0,0.0
1,延炼,YCO,21460.8625,16263.354839,0.0
1,延炼,不合格丙烯,0.0,0.0,0.0
1,延炼,不合格液化气,0.0,0.0,0.0
1,延炼,丙烯,840.764331,0.0,0.0
1,延炼,丙烷,764.33121,0.0,50.986399
1,延炼,丙苯,0.0,0.0,0.0
1,延炼,乙苯,3835.95,31.874856,0.0
1,延炼,催化柴油,19246.743,0.0,0.0
1,延炼,催化汽油,7031.68025,0.0,0.0
1,延炼,再生C4,0.0,0.0,0.0
1,延炼,净化干气,0.0,0.0,0.0
1,延炼,含硫燃料气,0.0,0.0,0.0
1,延炼,富异丁烯C4,0.0,0.0,0.0
1,延炼,富气,0.0,0.0,0.0
1,延炼,常压直馏柴油,7122.2,0.0,3833.014426
1,延炼,常压石脑油,7902.0,0.0,0.0
1,延炼,干气,0.0,183.623785,0.0
1,延炼,戊烷,0.0,0.0,0.0
1,延炼,次品MTBE,0.0,0.0,0.0
1,延炼,次品SBA,0.0,0.0,0.0
1,延炼,正丁烷,0.0,0.0,0.0
1,延炼,氢气,0.0,0.0,0.0
1,延炼,污水,0.0,0.0,0.0
1,延炼,污油,0.0,0.0,0.0
1,延炼,油浆,0.0,0.0,26.84991
1,延炼,液化气,0.0,0.0,0.0
1,延炼,烃化尾气,0.0,0.0,0.0
1,延炼,烃化液,1325.26,0.0,0.0
1,延炼,烟道气,0.0,0.0,0.0
1,延炼,烷基化C4,0.0,0.0,0.0
1,延炼,烷基化油,0.0,0.0,0.0
1,延炼,焦油,0.0,0.0,0.0
1,延炼,焦炭,0.0,0.0,315.492727
1,延炼,燃料气,0.0,0.0,0.0
1,延炼,瓦斯气,0.0,0.0,0.0
1,延炼,甲苯,0.0,0.0,4.290323
1,延炼,甲醇原料,839.5,12.248392,0.0
1,延炼,石油苯,1551.0,0.0,0.0
1,延炼,石脑油,0.0,0.0,21.580645
1,延炼,石脑油Ⅲ,0.0,0.0,52.368628
1,延炼,粗汽油,0.0,0.0,0.0
1,延炼,粗硫磺,0.0,0.0,0.0
1,延炼,粗酯,0.0,0.0,0.0
1,延炼,精制柴油,0.0,0.0,0.0
1,延炼,精制汽油,0.0,0.0,0.0
1,延炼,精制油,0.0,0.0,0.0
1,延炼,精制液化气,0.0,0.0,0.0
1,延炼,精制硫磺,0.0,0.0,0.0
1,延炼,聚丙烯,0.0,0.0,276.772521
1,延炼,脱氢尾气,0.0,0.0,0.0
1,延炼,脱氢液,1403.987419,0.0,0.0
1,延炼,航煤原料,8698.191845,0.0,0.0
1,延炼,航煤组分油,0.0,0.0,960.16129
1,延炼,苯,0.0,0.0,0.0
1,延炼,苯乙烯,5488.2,0.0,150.83871
1,延炼,轻污油,0.0,0.0,0.0
1,延炼,轻烃,0.0,0.0,0.0
1,延炼,酯后碳四,0.0,0.0,111.8281
1,延炼,酸性气,0.0,0.0,0.0
1,延炼,酸性水,0.0,0.0,0.0
1,延炼,醋酸仲丁酯,824.0,0.0,77.049243
1,延炼,醋酸原料,583.0,42.845494,0.0
1,延炼,醚后C4,0.0,0.0,0.0
1,延炼,重整汽油,0.0,0.0,0.0
1,延炼,重整轻汽油,0.0,0.0,0.0
1,延炼,非芳烃,0.0,0.0,0.0
1,延炼,饱和液化气,0.0,0.0,0.0
1,延炼,高沸物,0.0,0.0,0.0
1,延石化,0#柴油,0.0,0.0,0.0
1,延石化,1#渣油,0.0,0.0,0.0
1,延石化,2#渣油,0.0,0.0,0.0
1,延石化,3#喷气燃料,0.0,0.0,0.0
1,延石化,92#汽油,0.0,0.0,0.0
1,延石化,95#汽油,0.0,0.0,0.0
1,延石化,C12,0.0,0.0,0.0
1,延石化,C4,1100.0,683.860553,0.0
1,延石化,C6馏分,0.0,0.0,0.0
1,延石化,MTBE,3500.0,0.0,940.580645
1,延石化,OG气,0.0,0.0,0.0
1,延石化,RCO,0.0,0.0,0.0
1,延石化,YCO,0.0,0.0,0.0
1,延石化,不合格丙烯,0.0,0.0,0.0
1,延石化,不合格液化气,0.0,0.0,0.0
1,延石化,丙烯,2200.0,0.0,186.976506
1,延石化,丙烷,500.0,0.0,0.0
1,延石化,丙苯,0.0,0.0,0.0
1,延石化,乙苯,0.0,0.0,0.0
1,延石化,催化柴油,11000.0,1347.30702,0.0
1,延石化,催化汽油,0.0,1992.622429,0.0
1,延石化,再生C4,400.0,0.0,0.0
1,延石化,净化干气,0.0,0.0,0.0
1,延石化,含硫燃料气,0.0,0.0,0.0
1,延石化,富异丁烯C4,1007.516129,0.0,0.0
1,延石化,富气,0.0,0.0,0.0
1,延石化,常压直馏柴油,0.0,0.0,0.0
1,延石化,常压石脑油,9000.0,2300.525935,0.0
1,延石化,干气,0.0,0.0,0.0
1,延石化,戊烷,0.0,0.0,0.0
1,延石化,次品MTBE,0.0,0.0,0.0
1,延石化,次品SBA,0.0,0.0,0.0
1,延石化,正丁烷,0.0,0.0,352.129032
1,延石化,氢气,0.0,0.0,0.0
1,延石化,污水,0.0,0.0,0.0
1,延石化,污油,0.0,0.0,0.0
1,延石化,油浆,0.0,0.0,0.0
1,延石化,液化气,1650.0,1660.145786,0.0
1,延石化,烃化尾气,0.0,0.0,0.0
1,延石化,烃化液,0.0,0.0,0.0
1,延石化,烟道气,0.0,0.0,0.0
1,延石化,烷基化C4,800.0,256.258065,0.0
1,延石化,烷基化油,3500.0,0.0,637.16129
1,延石化,焦油,0.0,0.0,0.0
1,延石化,焦炭,0.0,0.0,0.0
1,延石化,燃料气,0.0,0.0,0.0
1,延石化,瓦斯气,0.0,0.0,0.0
1,延石化,甲苯,0.0,0.0,0.0
1,延石化,甲醇原料,2800.0,328.870968,0.0
1,延石化,石油苯,0.0,0.0,73.591327
1,延石化,石脑油,0.0,0.0,171.0
1,延石化,石脑油Ⅲ,0.0,0.0,0.0
1,延石化,粗汽油,0.0,0.0,339.156567
1,延石化,粗硫磺,0.0,0.0,0.0
1,延石化,粗酯,0.0,0.0,0.0
1,延石化,精制柴油,0.0,0.0,6440.19627
1,延石化,精制汽油,0.0,0.0,4131.935484
1,延石化,精制油,0.0,0.0,16.354839
1,延石化,精制液化气,0.0,32.516129,0.0
1,延石化,精制硫磺,0.0,0.0,11.347293
1,延石化,聚丙烯,0.0,0.0,610.0
1,延石化,脱氢尾气,0.0,0.0,0.0
1,延石化,脱氢液,0.0,0.0,0.0
1,延石化,航煤原料,0.0,0.0,0.0
1,延石化,航煤组分油,0.0,0.0,0.0
1,延石化,苯,0.0,0.0,0.0
1,延石化,苯乙烯,0.0,0.0,0.0
1,延石化,轻污油,700.0,0.0,0.0
1,延石化,轻烃,0.0,0.0,0.0
1,延石化,酯后碳四,0.0,0.0,0.0
1,延石化,酸性气,0.0,53.290323,0.0
1,延石化,酸性水,0.0,0.0,0.0
1,延石化,醋酸仲丁酯,0.0,0.0,0.0
1,延石化,醋酸原料,0.0,0.0,0.0
1,延石化,醚后C4,0.0,0.0,932.506021
1,延石化,重整汽油,0.0,0.0,2349.741935
1,延石化,重整轻汽油,0.0,0.0,744.483871
