day,plant,unit,load_t_per_d,target_t_per_d,plan_completion_rate,load_ratio
1,延炼,100万催化装置,0.0,2638.387097,0.0,0.0
1,延石化,120万重整装置,4154.548387,4154.548387,1.0,1.0
1,延石化,12万MTBE装置,1141.967742,1141.967742,1.0,1.0
1,延石化,140万柴油加氢装置,2609.320675,2534.903226,1.0,1.029357116
1,延石化,180万汽油精制装置,4184.580645,4184.580645,1.0,1.0
1,延炼,200万催化装置,4600.0,5600.0,0.821428571,0.821428571
1,延石化,20万烷基化装置,1022.36129,1022.36129,1.0,1.0
1,延石化,20万聚丙烯装置,629.483871,629.483871,1.0,1.0
1,延石化,20万苯抽提装置,558.645161,558.645161,1.0,1.0
1,延石化,240万柴油加氢装置,4630.032258,4630.032258,1.0,1.0
1,延石化,25万MTBE装置,1463.741935,1463.741935,1.0,1.0
1,延炼,260万常压装置,7263.064516,7263.064516,1.0,1.0
1,延炼,300万常压装置,9000.290323,9000.290323,1.0,1.0
1,延石化,30万混合脱氢装置,1883.612903,1883.612903,1.0,1.0
1,延炼,50万航煤加氢装置,986.774194,986.774194,1.0,1.0
1,延石化,60万气体分馏装置,1882.032258,1882.032258,1.0,1.0
1,延石化,60万精制装置,1850.0,1850.0,1.0,1.0
1,延炼,MTBE装置,173.0,173.0,1.0,1.0
1,延炼,乙苯装置200单元,288.0,288.0,1.0,1.0
1,延炼,干气精制装置,345.1,345.1,1.0,1.0
1,延炼,气体分馏装置,860.233307,863.0,0.996794098,0.996794098
1,延炼,液化气精制装置,863.0,863.0,1.0,1.0
1,延石化,硫磺回收装置,53.290323,53.290323,1.0,1.0
1,延石化,硫磺精制装置,13.290323,11.032258,1.0,1.204678363
1,延炼,聚丙烯装置,288.0,288.0,1.0,1.0
1,延炼,苯乙烯装置300单元,164.741935,164.741935,1.0,1.0
1,延炼,苯乙烯装置400单元,158.096774,158.096774,1.0,1.0
1,延炼,醋酸仲丁酯装置,201.0,201.0,1.0,1.0
2,延炼,100万催化装置,0.0,2638.387097,0.0,0.0
2,延石化,120万重整装置,4154.548387,4154.548387,1.0,1.0
2,延石化,12万MTBE装置,1141.967742,1141.967742,1.0,1.0
2,延石化,140万柴油加氢装置,2609.320675,2534.903226,1.0,1.029357116
2,延石化,180万汽油精制装置,4184.580645,4184.580645,1.0,1.0
2,延炼,200万催化装置,4600.0,5600.0,0.821428571,0.821428571
2,延石化,20万烷基化装置,1022.36129,1022.36129,1.0,1.0
2,延石化,20万聚丙烯装置,629.483871,629.483871,1.0,1.0
2,延石化,20万苯抽提装置,558.645161,558.645161,1.0,1.0
2,延石化,240万柴油加氢装置,4630.032258,4630.032258,1.0,1.0
2,延石化,25万MTBE装置,1463.741935,1463.741935,1.0,1.0
2,延炼,260万常压装置,7263.064516,7263.064516,1.0,1.0
2,延炼,300万常压装置,9000.290323,9000.290323,1.0,1.0
2,延石化,30万混合脱氢装置,1883.612903,1883.612903,1.0,1.0
2,延炼,50万航煤加氢装置,986.774194,986.774194,1.0,1.0
2,延石化,60万气体分馏装置,1882.032258,1882.032258,1.0,1.0
