day,material,inventory_t,shipment_t_per_d,external_source_t_per_d
1,0#柴油,50277.65,0.0,0.0
1,1#渣油,31506.40825,0.0,0.0
1,2#渣油,0.0,0.0,0.0
1,3#喷气燃料,24084.0,0.0,0.0
1,92#汽油,33437.75,0.0,0.0
1,95#汽油,24974.125,0.0,0.0
1,C12,0.0,0.237841,0.0
1,C4,0.0,270.035999,0.0
1,MTBE,6232.5381,32.74371,0.0
1,OG气,0.0,5.820608,0.0
1,RCO,17558.8875,0.0,0.0
1,YCO,21460.8625,0.0,16210.0
1,不合格丙烯,0.0,0.0,0.0
1,不合格液化气,0.0,0.0,0.0
1,丙烯,861.997145,0.0,0.0
1,丙烷,764.33121,67.822011,0.0
1,丙苯,0.0,4.706703,0.0
1,乙苯,3817.260974,0.0,0.0
1,催化柴油,19246.743,1169.782394,0.0
1,催化汽油,7031.68025,2277.270548,0.0
1,净化干气,0.0,221.382705,0.0
1,常压直馏柴油,7122.2,8425.958,0.0
1,常压石脑油,7902.0,1847.94,0.0
1,干气,0.0,0.0,324.23065
1,戊烷,0.0,43.076142,0.0
1,次品MTBE,0.0,0.0,0.0
1,次品SBA,0.0,0.0,0.0
1,污油,0.0,0.0,0.0
1,油浆,0.0,28.062597,0.0
1,液化气,0.0,0.0,0.0
1,烃化尾气,0.0,120.303321,0.0
1,烃化液,1325.26,0.0,0.0
1,焦油,0.0,1.625765,0.0
1,焦炭,0.0,329.742076,0.0
1,燃料气,0.0,0.026186,0.0
1,瓦斯气,0.0,23.887152,0.0
1,甲苯,0.0,4.07975,0.0
1,甲醇原料,839.5,0.0,12.248392
1,石油苯,1551.0,0.0,87.921206
1,石脑油,0.0,29.743053,0.0
1,石脑油Ⅲ,0.0,54.733877,0.0
1,粗酯,0.0,2.523757,0.0
1,精制液化气,0.0,0.0,0.0
1,聚丙烯,0.0,184.339469,0.0
1,脱氢尾气,0.0,2.356624,0.0
1,脱氢液,1377.48196,0.0,0.0
1,航煤原料,8143.2,176.708,0.0
1,航煤组分油,0.0,1323.321347,0.0
1,苯,0.0,0.0,0.0
1,苯乙烯,5488.2,143.435433,0.0
1,酯后碳四,0.0,97.633708,0.0
1,酸性气,0.0,92.261782,0.0
1,酸性水,0.0,0.0,0.0
1,醋酸仲丁酯,824.0,67.269348,0.0
1,醋酸原料,583.0,0.0,37.407095
1,醚后C4,0.0,0.0,0.0
1,高沸物,0.0,1.213283,0.0
2,0#柴油,50277.65,0.0,0.0
2,1#渣油,30538.7965,0.0,0.0
2,2#渣油,0.0,0.0,0.0
2,3#喷气燃料,24084.0,0.0,0.0
2,92#汽油,33437.75,0.0,0.0
2,95#汽油,24974.125,0.0,0.0
2,C12,0.0,0.237841,0.0
2,C4,0.0,270.035999,0.0
2,MTBE,6232.5381,32.74371,0.0
2,OG气,0.0,5.820608,0.0
2,RCO,17558.8875,0.0,0.0
2,YCO,21460.8625,0.0,16210.0
2,不合格丙烯,0.0,0.0,0.0
2,不合格液化气,0.0,0.0,0.0
2,丙烯,883.229959,0.0,0.0
2,丙烷,764.33121,67.822011,0.0
2,丙苯,0.0,4.706703,0.0
2,乙苯,3798.571947,0.0,0.0
2,催化柴油,19246.743,1169.782394,0.0
2,催化汽油,7031.68025,2277.270548,0.0
2,净化干气,0.0,221.382705,0.0
2,常压直馏柴油,7122.2,8425.958,0.0
2,常压石脑油,7902.0,1847.94,0.0
2,干气,0.0,0.0,324.23065
2,戊烷,0.0,43.076142,0.0
2,次品MTBE,0.0,0.0,0.0
2,次品SBA,0.0,0.0,0.0
2,污油,0.0,0.0,0.0
2,油浆,0.0,28.062597,0.0
2,液化气,0.0,0.0,0.0
2,烃化尾气,0.0,120.303321,0.0
2,烃化液,1325.26,0.0,0.0
2,焦油,0.0,1.625765,0.0
2,焦炭,0.0,329.742076,0.0
2,燃料气,0.0,0.026186,0.0
2,瓦斯气,0.0,23.887152,0.0
