unit,alpha,initial_load_t_per_d,rated_load_t_per_d,minimum_load_t_per_d,maximum_load_t_per_d,raw_target_t_per_d,target_t_per_d,clipped_at
100万催化装置,1.0,2300.0,2550.0,2295.0,2800.0,2550.0,2550.0,none
200万催化装置,1.0,4600.0,5100.0,4590.0,5600.0,5100.0,5100.0,none
260万常压装置,1.0,6500.0,7630.0,6485.5,8011.5,7630.0,7630.0,none
300万常压装置,1.0,7300.0,8580.0,7293.0,9009.0,8580.0,8580.0,none
50万航煤加氢装置,1.0,960.0,1360.0,952.0,1488.0,1360.0,1360.0,none
MTBE装置,1.0,115.0,164.0,114.8,173.0,164.0,164.0,none
乙苯装置200单元,1.0,120.0,240.0,120.0,288.0,240.0,240.0,none
干气精制装置,1.0,345.0,493.0,345.1,518.0,493.0,493.0,none
气体分馏装置,1.0,575.0,822.0,575.4,863.0,822.0,822.0,none
液化气精制装置,1.0,575.0,822.0,575.4,863.0,822.0,822.0,none
聚丙烯装置,1.0,192.0,274.0,191.8,288.0,274.0,274.0,none
苯乙烯装置300单元,1.0,120.0,320.0,128.0,384.0,320.0,320.0,none
苯乙烯装置400单元,1.0,120.0,320.0,128.0,384.0,320.0,320.0,none
醋酸仲丁酯装置,1.0,134.0,192.0,134.4,201.0,192.0,192.0,none
