material,initial_inventory_t,ending_inventory_t,terminal_minimum_t,slack_t,satisfied
0#柴油,50277.65,50277.65,50277.65,0.0,True
1#渣油,32474.02,32474.02,32474.02,0.0,True
3#喷气燃料,24084.0,24084.0,24084.0,0.0,True
92#汽油,33437.75,33437.75,33437.75,0.0,True
95#汽油,24974.125,24974.125,24974.125,0.0,True
MTBE,6232.5381,6232.5381,6232.5381,0.0,True
RCO,17558.8875,17558.8875,17558.8875,0.0,True
YCO,21460.8625,21460.8625,21460.8625,0.0,True
丙烯,840.764331,840.764331,840.764331,0.0,True
丙烷,764.33121,764.33121,764.33121,0.0,True
乙苯,3835.95,3835.95,3835.95,-0.0,True
催化柴油,19246.743,19246.743,19246.743,0.0,True
催化汽油,7031.68025,7031.68025,7031.68025,0.0,True
常压直馏柴油,7122.2,7122.2,7122.2,-0.0,True
常压石脑油,7902.0,7902.0,7902.0,0.0,True
烃化液,1325.26,1325.26,1325.26,0.0,True
甲醇原料,839.5,839.5,839.5,0.0,True
石油苯,1551.0,1551.0,1551.0,0.0,True
脱氢液,1402.31,1402.31,1402.31,0.0,True
航煤原料,8143.2,8143.2,8143.2,0.0,True
苯乙烯,5488.2,5488.2,5488.2,-0.0,True
醋酸仲丁酯,824.0,824.0,824.0,0.0,True
醋酸原料,583.0,583.0,583.0,0.0,True
