day,unit,load_t_per_d,target_t_per_d,credited_load_t_per_d,completion_rate,load_change_t_per_d,on
1,100万催化装置,0.0,2550.0,0.0,0.0,2300.0,0
1,200万催化装置,4807.76075,5100.0,4807.76075,0.942698186,207.76075,1
1,260万常压装置,7630.0,7630.0,7630.0,1.0,1130.0,1
1,300万常压装置,8580.0,8580.0,8580.0,1.0,1280.0,1
1,50万航煤加氢装置,1360.0,1360.0,1360.0,1.0,400.0,1
1,MTBE装置,173.0,164.0,164.0,1.0,58.0,1
1,乙苯装置200单元,240.0,240.0,240.0,1.0,120.0,1
1,干气精制装置,493.0,493.0,493.0,1.0,148.0,1
1,气体分馏装置,757.197401,822.0,757.197401,0.921164722,182.197401,1
1,液化气精制装置,759.632709,822.0,759.632709,0.924127383,184.632709,1
1,聚丙烯装置,191.817333,274.0,191.817333,0.70006326,0.182667,1
1,苯乙烯装置300单元,129.411592,320.0,129.411592,0.404411226,9.411592,1
1,苯乙烯装置400单元,150.337266,320.0,150.337266,0.469803956,30.337266,1
1,醋酸仲丁酯装置,175.486978,192.0,175.486978,0.913994678,41.486978,1
2,100万催化装置,0.0,2550.0,0.0,0.0,0.0,0
2,200万催化装置,4807.76075,5100.0,4807.76075,0.942698186,0.0,1
2,260万常压装置,7630.0,7630.0,7630.0,1.0,0.0,1
2,300万常压装置,8580.0,8580.0,8580.0,1.0,0.0,1
2,50万航煤加氢装置,1360.0,1360.0,1360.0,1.0,0.0,1
2,MTBE装置,173.0,164.0,164.0,1.0,0.0,1
2,乙苯装置200单元,240.0,240.0,240.0,1.0,0.0,1
2,干气精制装置,493.0,493.0,493.0,1.0,0.0,1
2,气体分馏装置,757.197401,822.0,757.197401,0.921164722,0.0,1
2,液化气精制装置,759.632709,822.0,759.632709,0.924127383,0.0,1
2,聚丙烯装置,191.817333,274.0,191.817333,0.70006326,0.0,1
2,苯乙烯装置300单元,129.411592,320.0,129.411592,0.404411226,0.0,1
2,苯乙烯装置400单元,150.337266,320.0,150.337266,0.469803956,0.0,1
2,醋酸仲丁酯装置,175.486978,192.0,175.486978,0.913994678,0.0,1
3,100万催化装置,0.0,2550.0,0.0,0.0,0.0,0
3,200万催化装置,4807.76075,5100.0,4807.76075,0.942698186,0.0,1
3,260万常压装置,7630.0,7630.0,7630.0,1.0,0.0,1
3,300万常压装置,8580.0,8580.0,8580.0,1.0,0.0,1
3,50万航煤加氢装置,1360.0,1360.0,1360.0,1.0,0.0,1
3,MTBE装置,173.0,164.0,164.0,1.0,0.0,1
3,乙苯装置200单元,240.0,240.0,240.0,1.0,0.0,1
3,干气精制装置,493.0,493.0,493.0,1.0,0.0,1
3,气体分馏装置,757.197401,822.0,757.197401,0.921164722,0.0,1
3,液化气精制装置,759.632709,822.0,759.632709,0.924127383,0.0,1
3,聚丙烯装置,191.817333,274.0,191.817333,0.70006326,0.0,1
3,苯乙烯装置300单元,129.411592,320.0,129.411592,0.404411226,0.0,1
3,苯乙烯装置400单元,150.337266,320.0,150.337266,0.469803956,0.0,1
3,醋酸仲丁酯装置,175.486978,192.0,175.486978,0.913994678,0.0,1
4,100万催化装置,0.0,2550.0,0.0,0.0,0.0,0
4,200万催化装置,4807.76075,5100.0,4807.76075,0.942698186,0.0,1
4,260万常压装置,7630.0,7630.0,7630.0,1.0,0.0,1
4,300万常压装置,8580.0,8580.0,8580.0,1.0,0.0,1
4,50万航煤加氢装置,1360.0,1360.0,1360.0,1.0,0.0,1
4,MTBE装置,173.0,164.0,164.0,1.0,0.0,1
4,乙苯装置200单元,240.0,240.0,240.0,1.0,0.0,1
4,干气精制装置,493.0,493.0,493.0,1.0,0.0,1
4,气体分馏装置,757.197401,822.0,757.197401,0.921164722,0.0,1
4,液化气精制装置,759.632709,822.0,759.632709,0.924127383,0.0,1
4,聚丙烯装置,191.817333,274.0,191.817333,0.70006326,0.0,1
4,苯乙烯装置300单元,129.411592,320.0,129.411592,0.404411226,0.0,1
4,苯乙烯装置400单元,150.337266,320.0,150.337266,0.469803956,0.0,1
4,醋酸仲丁酯装置,175.486978,192.0,175.486978,0.913994678,0.0,1
5,100万催化装置,2550.0,2550.0,2550.0,1.0,2550.0,1
5,200万催化装置,0.0,5100.0,0.0,0.0,4807.76075,0
5,260万常压装置,7630.0,7630.0,7630.0,1.0,0.0,1
5,300万常压装置,8580.0,8580.0,8580.0,1.0,0.0,1
5,50万航煤加氢装置,1360.0,1360.0,1360.0,1.0,0.0,1
5,MTBE装置,173.0,164.0,164.0,1.0,0.0,1
5,乙苯装置200单元,240.0,240.0,240.0,1.0,0.0,1
5,干气精制装置,493.0,493.0,493.0,1.0,0.0,1
5,气体分馏装置,581.055155,822.0,581.055155,0.70687975,176.142246,1
5,液化气精制装置,582.923952,822.0,582.923952,0.709153226,176.708757,1
5,聚丙烯装置,191.8,274.0,191.8,0.7,0.017333,1
5,苯乙烯装置300单元,129.411592,320.0,129.411592,0.404411226,0.0,1
5,苯乙烯装置400单元,150.337266,320.0,150.337266,0.469803956,0.0,1
5,醋酸仲丁酯装置,175.486978,192.0,175.486978,0.913994678,0.0,1
6,100万催化装置,2550.0,2550.0,2550.0,1.0,0.0,1
6,200万催化装置,0.0,5100.0,0.0,0.0,0.0,0
6,260万常压装置,7630.0,7630.0,7630.0,1.0,0.0,1
6,300万常压装置,8580.0,8580.0,8580.0,1.0,0.0,1
6,50万航煤加氢装置,1360.0,1360.0,1360.0,1.0,0.0,1
6,MTBE装置,173.0,164.0,164.0,1.0,0.0,1
6,乙苯装置200单元,240.0,240.0,240.0,1.0,0.0,1
6,干气精制装置,493.0,493.0,493.0,1.0,0.0,1
6,气体分馏装置,581.055155,822.0,581.055155,0.70687975,0.0,1
6,液化气精制装置,582.923952,822.0,582.923952,0.709153226,0.0,1
6,聚丙烯装置,191.8,274.0,191.8,0.7,0.0,1
6,苯乙烯装置300单元,128.0,320.0,128.0,0.4,1.411592,1
6,苯乙烯装置400单元,0.0,320.0,0.0,0.0,150.337266,0
6,醋酸仲丁酯装置,175.486978,192.0,175.486978,0.913994678,0.0,1
7,100万催化装置,2550.0,2550.0,2550.0,1.0,0.0,1
7,200万催化装置,0.0,5100.0,0.0,0.0,0.0,0
7,260万常压装置,7630.0,7630.0,7630.0,1.0,0.0,1
7,300万常压装置,8580.0,8580.0,8580.0,1.0,0.0,1
7,50万航煤加氢装置,1360.0,1360.0,1360.0,1.0,0.0,1
7,MTBE装置,173.0,164.0,164.0,1.0,0.0,1
7,乙苯装置200单元,240.0,240.0,240.0,1.0,0.0,1
7,干气精制装置,493.0,493.0,493.0,1.0,0.0,1
7,气体分馏装置,581.055155,822.0,581.055155,0.70687975,0.0,1
7,液化气精制装置,582.923952,822.0,582.923952,0.709153226,0.0,1
7,聚丙烯装置,191.8,274.0,191.8,0.7,0.0,1
7,苯乙烯装置300单元,0.0,320.0,0.0,0.0,128.0,0
7,苯乙烯装置400单元,0.0,320.0,0.0,0.0,0.0,0
7,醋酸仲丁酯装置,175.486978,192.0,175.486978,0.913994678,0.0,1
